文章ID,标题,时间类,金钱类,心理类,关系类,健康类,资源类
article_001,【投書】年收300萬還是甲級貧戶，竹科生活到底窮不窮？,1,0,0,1,1,0
article_002,不是工作壓力大！竹科高薪人「做不到一年逃回台北」，原因北漂人都懂,0,0,0,0,0,0
article_003,只剩薪水好！竹科人曝「新竹5缺點」嘆：生活充滿厭惡 (第10頁),0,0,0,0,0,0
article_004,只剩薪水好！竹科人曝「新竹5缺點」嘆：生活充滿厭惡,1,0,0,0,0,1
article_005,在竹科附近生活！前輩苦曝5缺陷,1,0,0,0,0,0
article_006,深度報導／我的孩子捲不動　竹科「複製人家庭」的焦慮與突圍,0,0,0,0,0,0
article_007,竹科「家長社群」超可怕！　她想讓小孩快樂竟被踢出,1,0,0,1,0,0
article_008,竹科媽媽群組門檻太難引熱議！網紅橫綱凱咪看不下去，列5項『高端人口』才有的真正特,0,0,0,0,0,0
article_009,薪情好帶動生育潮！「竹科效應」吸外媒關注 家庭相關福利措施助攻,1,0,0,1,0,0
article_010,當竹科家庭小孩很幸福？,1,0,0,0,0,0
article_011,前陣子「竹科媽媽」群組又上新聞了，很多人覺得匪夷所思。以我這個土生土長的縣民來說,0,0,0,0,0,0
